User stories LT;User stories ENG;KR1 Atomiškumas ;KR2 Viso sakinio pilnumas ;KR3 Dviprasmiškumas
Aš kaip administratorius, noriu atkurti vartotojų slaptažodžius, kad galėčiau jiems padėti atgauti prieigą, jei jie pamirštų savo prisijungimo duomenis.;As an administrator, I want to reset users' passwords so I can help them regain access if they forget their login details.;1;1;1
Aš kaip administratorius, noriu sukurti blokuojamų el. paštų sąrašą, kad nesiregistruotų klientai su netikrais el. paštais. ;As an administrator, I want to create blocked emails. mailing list to prevent customers with fake e-mails from signing up. by mail.;1;1;1
Aš kaip administratorius, noriu turėti prieigą prie lankytojų statistikos, kad galėčiau analizuoti svetainės lankomumą ir efektyvumą.;As an administrator, I want to have access to visitor statistics in order to analyze the site's traffic and effectiveness.;0;1;0
Aš kaip auksinis lojalumo vartotojas, noriu gauti 30 procentų nuolaidas.;As a gold loyalty user, I want to get 30 percent discounts.;1;0;1
Aš kaip buhalteris, noriu gauti pranešimus apie naujai įkeltas paslaugų sutartis, kad galėčiau sutikrinti. ;As an accountant, I want to receive notifications of newly uploaded service contracts so that I can check them.;1;1;1
Aš kaip buhalteris, noriu matyti visas paslaugų sutartys, kad sutikrinčiau informaciją. ;As an accountant, I want to see all service contracts to reconcile information.;1;1;1
Aš kaip el. parduotuvės vartotojas, noriu matyti užsakymų istoriją, kad žinočiau savo ankstesnius užsakymus.;As an e-store user, I want to see my order history to know my previous orders.;1;1;1
Aš kaip e-parduotuvės lankytojas, noriu turėti galimybę palyginti produktus, kad galėčiau priimti geriausią sprendimą dėl pirkimo.;As a visitor to an e-shop, I want to be able to compare products in order to make the best purchase decision.;1;1;1
Aš kaip e-svetainės vartotojas, noriu gauti naujienlaiškius, kad nepraleisti naujienų. ;As a user of the website, I want to receive newsletters so that I don't miss any news.;1;1;1
Aš kaip e-svetainės vartotojas, noriu įsidėti į krepšelį norimas prekes, kad galėčiau jas nusipirkti.;As a user of the website, I want to add the desired products to the cart in order to purchase them.;1;1;1
Aš kaip e-svetainės vartotojas, noriu ištrinti prekes iš krepšelio. ;As a user of the website, I want to delete items from the cart.;1;0;1
Aš kaip interneto svetainės administratorius, noriu turėti galimybę išsitraukti ataskaitą apie programėlės vartotojus, kad žinočiau kiek yra aktyvių vartotojų. ;As a website administrator, I want to be able to pull a report on the users of the app to know how many active users there are.;1;1;1
Aš kaip interneto svetainės administratorius, noriu turėti integruotą analitiką, kad galėčiau stebėti svetainės veikimą ir vartotojų įsitraukimą.;As a website administrator, I want to have built-in analytics to monitor website performance and user engagement.;0;1;0
Aš kaip interneto svetainės lankytojas, noriu matyti pritaikytą turinį pagal mano interesus, kad galėčiau greičiau rasti mane dominančią informaciją.;As a website visitor, I want to see content tailored to my interests so I can find the information I'm interested in faster.;1;1;1
Aš kaip IT administratorius, noriu personalo procesų sistemoje priskirti įrangą darbuotojui, kad būtų tvarkingai sužymėta. ;As an IT administrator, I want to assign equipment to an employee in the personnel process system so that it is properly tagged.;1;1;1
Aš kaip IT administratorius, noriu personalo procesų sistemoje sukurti įrašą apie įrangą, kad galėčiau priskirti darbuotojui.;As an IT administrator, I want to create an equipment record in the HR process system to assign to an employee.;1;1;1
Aš kaip el. svetainės lankytojas, noriu turėti DUK skyrių, kad galėčiau greitai gauti atsakymus į dažniausiai užduodamus klausimus.;I like email website visitor, I want to have a FAQ section so I can get quick answers to frequently asked questions.;1;1;1
Aš kaip lojalumo sistemos programuotojas, noriu sukurti registracijos puslapį, kad atsirastų daugiau klientų.;As a loyalty system programmer, I want to create a registration page to get more customers.;1;1;1
Aš kaip lojalumo sistemos vartotojas, noriu atsijungti nuo paskyros, kad niekas daugiau nenaudotų mano paskyros. ;As a loyalty system user, I want to log out of my account so that no one else can use my account.;1;1;1
Aš kaip lojalumo sistemos vartotojas, noriu matyti ant atspausdinto čekio savo lojalumo taškus, kad galėčiau pasinaudoti atsiskaitymo metu.;As a user of the loyalty system, I want to see my loyalty points on the printed receipt so that I can use them at checkout.;1;1;1
Aš kaip lojalumo sistemos vartotojas, noriu palikti atsiliepimą, kad žinotų kliento nuomonę.;As a user of the loyalty system, I want to leave a review to know the customer's opinion.;1;1;1
Aš kaip mobilios programėlės  vartotojas, noriu redaguoti savo profilio duomenis.;As a mobile app user, I want to edit my profile data.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu draugui išsiųsti automobilio plovimą, kad draugas galėtų išsiplauti automobilį.;I, as a user of the mobile app, want to send a car wash to a friend so that the friend can wash the car.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu gauti degalinių nuolaidas pagal savo geografinę vietą.;As a mobile app user, I want to receive gas station discounts based on my geographic location.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu gauti nuolaidas degalams per šventes ir specialias dienas, kad galėčiau dar daugiau sutaupyti.;As a mobile app user, I want to get gas discounts during holidays and special days to save even more.;0;1;0
Aš kaip mobilios programėlės vartotojas, noriu gauti papildomas nuolaidas, kai rekomenduoju degalinę programėlėje.;As a user of the mobile app, I want to get additional discounts when I recommend a gas station in the app.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu gauti personalizuotas kuro nuolaidas, atsižvelgiant į mano kelionių istoriją.;As a mobile app user, I want to receive personalized fuel discounts based on my travel history.;1;0;1
Aš kaip mobilios programėlės vartotojas, noriu gauti pranešimus apie kuro nuolaidas, kad niekada nepraleisčiau progos sutaupyti.;As a user of the mobile app, I want to receive notifications about fuel discounts so that I never miss an opportunity to save.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu gauti pranešimus apie riboto laiko nuolaidas, kad galėčiau greitai jomis pasinaudoti.;As a mobile app user, I want to receive notifications about limited time discounts so I can take advantage of them quickly.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu matyti artimiausių kelių degalinių kainų palyginimą, kad rinkčiausi pigiausią.;As a user of the mobile app, I want to see the price comparison of the nearest gas stations in order to choose the cheapest one.;1;1;1
Aš kaip mobilios programėlės vartotojas, noriu matyti atsiliepimus apie degalines, kurios siūlo nuolaidas, kad galėčiau rinktis kokybiškas paslaugas.;As a mobile app user, I want to see reviews of gas stations that offer discounts so that I can choose quality services.;1;1;1
