User stories,  KR1 Atomiškumas,  KR2 Pilnumas,  KR3 Dviprasmiškumas
Aš kaip administratorius  noriu atkurti vartotojų slaptažodžius  kad galėčiau jiems padėti atgauti prieigą  jei jie pamirštų savo prisijungimo duomenis,1,1,1
Aš kaip administratorius  noriu sukurti blokuojamų el. paštų sąrašą  kad nesiregistruotų klientai su netikrais el. Paštais,1,1,1
Aš kaip administratorius  noriu turėti prieigą prie lankytojų statistikos  kad galėčiau analizuoti svetainės lankomumą ir efektyvumą,0,1,0
Aš kaip auksinis lojalumo vartotojas  noriu gauti 30 procentų nuolaidas,1,0,1
Aš kaip buhalteris  noriu gauti pranešimus apie naujai įkeltas paslaugų sutartis,1,0,1
Aš kaip buhalteris  noriu matyti visas paslaugų sutartys  kad sutikrinčiau informaciją,1,1,1
Aš kaip el. parduotuvės vartotojas  noriu matyti užsakymų istoriją  kad žinočiau savo ankstesnius užsakymus,1,1,1
Aš kaip e-parduotuvės lankytojas  noriu turėti galimybę palyginti produktus,1,0,1
Aš kaip e-svetainės vartotojas  noriu gauti naujienlaiškius  kad nepraleisti naujienų,1,1,1
Aš kaip e-svetainės vartotojas  noriu įsidėti į krepšelį norimas prekes,1,0,1
Aš kaip e-svetainės vartotojas  noriu ištrinti prekes iš krepšelio,1,0,1
Aš kaip interneto svetainės administratorius  noriu turėti galimybę išsitraukti ataskaitą apie programėlės vartotojus  kad žinočiau kiek yra aktyvių vartotojų,1,1,1
Aš kaip interneto svetainės administratorius  noriu turėti integruotą analitiką  kad galėčiau stebėti svetainės veikimą ir vartotojų įsitraukimą,0,1,0
Aš kaip interneto svetainės lankytojas  noriu matyti pritaikytą turinį pagal mano interesus  kad galėčiau greičiau rasti mane dominančią informaciją,1,1,1
Aš kaip IT administratorius  noriu personalo procesų sistemoje priskirti įrangą darbuotojui  kad būtų tvarkingai sužymėta,1,1,1
Aš kaip IT administratorius  noriu personalo procesų sistemoje sukurti įrašą apie įrangą  kad galėčiau priskirti darbuotojui,1,1,1
Aš kaip el. svetainės lankytojas  noriu turėti DUK skyrių  kad galėčiau greitai gauti atsakymus į dažniausiai užduodamus klausimus,1,1,1
Aš kaip lojalumo sistemos programuotojas  noriu sukurti registracijos puslapį  kad atsirastų daugiau klientų,1,1,1
Aš kaip lojalumo sistemos vartotojas  noriu atsijungti nuo paskyros  kad niekas daugiau nenaudotų mano paskyros,1,1,1
Aš kaip lojalumo sistemos vartotojas  noriu matyti ant atspausdinto čekio savo lojalumo taškus  kad galėčiau pasinaudoti atsiskaitymo metu,1,1,1
Aš kaip lojalumo sistemos vartotojas  noriu palikti atsiliepimą  kad žinotų kliento nuomonę,1,1,1
Aš kaip mobilios programėlės  vartotojas  noriu redaguoti savo profilio duomenis,1,0,1
